Summary,Issue Type,Description,Priority,Epic Name,Story Points,Labels,Sprint
Public Website,Epic,"All customer-facing pages and sections of the website",Highest,,,,
User Authentication,Epic,"User registration, login, OAuth and profile management",Highest,,,,
Reservation System,Epic,"Reservation form and WhatsApp integration",Highest,,,,
Reviews & Feedback,Epic,"Customer review submission and display system",High,,,,
Backoffice - Content Management,Epic,"Admin panel for managing site content, menus, images",Highest,,,,
Backoffice - Vouchers & Flash Sales,Epic,"Voucher creation, flash sale scheduling, automation",High,,,,
Backoffice - Moderation,Epic,"Review moderation, reservation viewer, user management",High,,,,
Backend Infrastructure,Epic,"Database, API, file storage, cron jobs, CI/CD setup",Highest,,,,
Hero section with cover video and brand identity,Story,"As a visitor, I see a full-screen cover video when I land on the site. The video autoplays muted with the ILOT Coco Beach branding overlaid. Ken Burns effect on fallback image. GSAP staggered text entrance animation.",High,Public Website,3,frontend,Sprint 1
About section with business story and features,Story,"As a visitor, I can read about the business and its unique features. Split layout: text + image with parallax. 2x2 feature cards (cabanes, eaux cristallines, hamacs, ambiance). GSAP scroll-triggered entrance.",Medium,Public Website,3,frontend,Sprint 1
Photo gallery with masonry grid and lightbox,Story,"As a visitor, I can browse the photo gallery. Masonry CSS columns layout (3 cols desktop, 2 tablet, 1 mobile). Clip-path reveal animation on scroll. Lightbox with prev/next navigation and keyboard support. Images fetched from API.",High,Public Website,5,frontend,Sprint 1
Menu page with Standard and Extra versions,Story,"As a visitor, I can view the menu with prices and images. Two tabs or toggle: Standard / Extra. Each item shows name, description, price, image. Data fetched from API. Responsive card grid.",High,Public Website,5,frontend,Sprint 1
Emplacements showcase page,Story,"As a visitor, I can see available spaces: cabanes sur sable, pied dans l'eau, plage, balade pirate en mer. Each emplacement shows image, description, capacity and price. Horizontal scroll on desktop, vertical stack on mobile.",High,Public Website,5,frontend,Sprint 1
Active vouchers display on website,Story,"As a visitor, I can see active vouchers and promotions displayed on the site. Voucher cards show code, discount percentage, and expiry date. Fetched from /api/vouchers/active endpoint.",Medium,Public Website,3,frontend,Sprint 2
Flash sale section with countdown timer,Story,"As a visitor, I see active flash sales with a countdown timer showing time remaining. Timer calculates client-side from ends_at timestamp. Urgency-driven design with animated countdown digits. Auto-hides when expired.",High,Public Website,5,frontend,Sprint 4
Approved customer reviews display,Story,"As a visitor, I can read approved customer reviews. Reviews show rating (1-5 stars), comment text, user name and date. Only reviews where is_approved=true and is_visible=true are shown. Carousel or grid layout.",Medium,Public Website,3,frontend,Sprint 2
Social media redirect buttons,Story,"As a visitor, I can click WhatsApp, Instagram and Messenger buttons to contact the business. WhatsApp opens wa.me link. Instagram opens @ilotcocobeach profile. Messenger opens m.me link. Floating action buttons on mobile.",High,Public Website,2,frontend,Sprint 1
Location section with Google Maps,Story,"As a visitor, I can see the location on a map and get directions. Google Maps iframe embed using lat/lng from config. Contact info cards: address, phone, hours, how to get there. Directions link opens Google Maps.",Medium,Public Website,3,frontend,Sprint 1
Multi-language support FR/AR/EN,Story,"As a visitor, I can switch between French, Arabic and English. Vue I18n with JSON translation files. Language switcher in header. Arabic triggers RTL layout via dir attribute. Language preference saved in localStorage.",High,Public Website,8,frontend,Sprint 1
Responsive design for all screen sizes,Story,"As a visitor, the site looks great on desktop (1920px), tablet (768px) and mobile (375px). TailwindCSS responsive breakpoints. Mobile hamburger menu. Touch-friendly interactions. Tested on Chrome, Firefox, Safari.",High,Public Website,8,frontend,Sprint 5
User registration with email or phone,Story,"As a visitor, I can sign up with email or phone number + password. POST /api/auth/register endpoint. Zod validation. bcrypt password hashing (12 rounds). Returns JWT access + refresh tokens. Duplicate check on email/phone.",High,User Authentication,5,backend,Sprint 2
User login with JWT tokens,Story,"As a registered user, I can log in and receive JWT tokens. Access token: 15min expiry, stored in memory. Refresh token: 7d expiry, httpOnly cookie. Auto-refresh on 401 response in API interceptor.",High,User Authentication,3,backend,Sprint 2
Google and Facebook OAuth login,Story,"As a visitor, I can sign up or log in with Google or Facebook. Passport.js strategies for Google and Facebook. OAuth2 callback exchanges code for provider token. Creates or links user account. Returns JWT tokens.",Medium,User Authentication,5,backend auth,Sprint 2
Password reset flow,Story,"As a user, I can reset my password via email. POST /api/auth/forgot-password sends reset link. Token with 1h expiry stored in DB. POST /api/auth/reset-password validates token and updates password.",High,User Authentication,4,backend auth,Sprint 2
Reservation form with WhatsApp send,Story,"As a visitor, I can fill a reservation form and send it via WhatsApp. Fields: name, phone, date, guests, message, voucher code. Form validates required fields (shake animation on error). Builds pre-formatted WhatsApp message and opens wa.me URL. Also saves reservation to database via POST /api/reservations.",High,Reservation System,5,frontend backend,Sprint 2
Apply voucher code to reservation,Story,"As a user, I can enter a voucher code in the reservation form. Frontend sends code to POST /api/vouchers/validate. API checks: exists, is_active, not expired, uses < max_uses. Returns discount info or error. Discount shown in the form before sending.",Medium,Reservation System,4,backend,Sprint 4
View reservation history,Story,"As a logged-in user, I can view my past reservations. GET /api/reservations/mine (authenticated). Shows date, guests, status (pending/confirmed/cancelled), voucher used. Simple list view in user profile.",Low,Reservation System,3,frontend backend,Sprint 4
Submit a review as logged-in user,Story,"As a logged-in user, I can submit a review with rating and text. POST /api/reviews (authenticated). Rating: 1-5 stars (clickable star component). Comment: text area. Review saved with is_approved=false by default. Success message: 'Merci! Votre avis sera visible apres validation.'",High,Reviews & Feedback,5,frontend backend,Sprint 2
Display only admin-approved reviews,Story,"As a visitor, I only see reviews approved by admin. GET /api/reviews returns WHERE is_approved=true AND is_visible=true. Frontend displays rating stars, comment, user name. No edit/delete from frontend.",High,Reviews & Feedback,2,frontend backend,Sprint 2
Admin secure login to backoffice,Story,"As an admin, I can log in to the backoffice securely. Same JWT auth but role check. Admin routes protected by middleware: req.user.role === 'admin'. Admin dashboard at /admin route. Redirect to login if not authenticated.",High,Backoffice - Content Management,4,backend frontend,Sprint 3
Admin menu management CRUD,Story,"As an admin, I can add, edit and delete menu items and categories. CRUD endpoints: POST/PUT/DELETE /api/admin/menu/categories and /items. Form: name (FR/EN/AR), description, price_standard, price_extra, image upload, is_available toggle. Drag-to-reorder with sort_order update.",High,Backoffice - Content Management,8,backend frontend,Sprint 3
Admin image management for all sections,Story,"As an admin, I can upload, reorder and delete images for all site sections. Upload to Cloudflare R2 via /api/admin/images. Section selector: hero, gallery, menu, emplacement. Grid view with drag-to-reorder. Delete with confirmation dialog.",High,Backoffice - Content Management,8,backend frontend,Sprint 3
Admin hero video and cover content editor,Story,"As an admin, I can change the hero video and cover text. Upload video to R2. Edit overlay text via site_settings table. Preview before publishing.",Medium,Backoffice - Content Management,3,backend frontend,Sprint 3
Admin emplacement management,Story,"As an admin, I can edit emplacement info: descriptions, images, pricing and capacity. CRUD for emplacements table. Trilingual text fields. Image upload. Sort order management.",High,Backoffice - Content Management,5,backend frontend,Sprint 3
Admin site settings and SEO editor,Story,"As an admin, I can edit contact info, about text and SEO keywords. Key-value pairs in site_settings table. Editable fields: phone, email, address, lat/lng, about_text_fr/en/ar, meta_title, meta_description, meta_keywords. Changes reflect immediately on public site.",Medium,Backoffice - Content Management,4,backend frontend,Sprint 3
Admin create and manage vouchers,Story,"As an admin, I can create vouchers with code, discount and expiry. CRUD at /api/admin/vouchers. Fields: code (auto-generate or manual), discount_percent or discount_amount, valid_from, valid_until, max_uses. Table view with active/inactive status. Toggle activate/deactivate.",High,Backoffice - Vouchers & Flash Sales,6,backend frontend,Sprint 4
Admin activate and deactivate vouchers,Story,"As an admin, I can manually activate or deactivate any voucher. PUT /api/admin/vouchers/:id/toggle. Toggle button in voucher list. Overrides cron job status if needed.",High,Backoffice - Vouchers & Flash Sales,2,backend frontend,Sprint 4
Admin schedule flash sales,Story,"As an admin, I can create flash sales with start time, end time and discount. CRUD at /api/admin/flash-sales. Fields: title (FR/EN/AR), description, discount_percent, starts_at (datetime picker), ends_at (datetime picker), image. Preview of how countdown will look.",High,Backoffice - Vouchers & Flash Sales,6,backend frontend,Sprint 4
Auto-activate and deactivate flash sales,Story,"The system automatically activates flash sales at their start time and deactivates at end time. node-cron job runs every minute. Checks starts_at <= NOW() for activation. Checks ends_at <= NOW() for deactivation. Updates is_active flag in database.",High,Backoffice - Vouchers & Flash Sales,4,backend,Sprint 4
Admin view and moderate all reviews,Story,"As an admin, I can see all submitted reviews regardless of status. GET /api/admin/reviews returns all reviews. Table view with: user name, rating, comment, date, status (pending/approved/rejected).",High,Backoffice - Moderation,3,backend frontend,Sprint 4
Admin approve or reject reviews,Story,"As an admin, I can approve, reject or hide any review. PUT /api/admin/reviews/:id with action: approve (is_approved=true, is_visible=true), reject (is_approved=false), hide (is_visible=false). Bulk actions for multiple reviews.",High,Backoffice - Moderation,3,backend frontend,Sprint 4
Admin view incoming reservations,Story,"As an admin, I can see all reservation requests. GET /api/admin/reservations. Table: name, phone, date, guests, voucher used, status, created_at. Filter by date range and status. Click to view details.",Medium,Backoffice - Moderation,3,backend frontend,Sprint 4
Admin view registered users,Story,"As an admin, I can see all registered users. GET /api/admin/users. Table: name, email/phone, provider, registration date. Search and filter. No edit/delete for privacy (admin can only view).",Low,Backoffice - Moderation,2,backend frontend,Sprint 5
Database schema design and Prisma migrations,Story,"Set up PostgreSQL database with all 10 tables. Prisma schema with models: User, MenuCategory, MenuItem, Emplacement, Image, Voucher, FlashSale, Review, Reservation, SiteSetting. Relations and indexes. Initial seed data for settings and admin user.",High,Backend Infrastructure,6,backend database,Sprint 1
REST API scaffold with auth middleware,Story,"Set up Fastify server with route structure. JWT auth middleware (access + refresh tokens). Role-based access control (public, user, admin). CORS configuration. Error handling. Request validation with Zod. Rate limiting.",High,Backend Infrastructure,8,backend,Sprint 1
File storage setup with Cloudflare R2,Story,"Set up S3-compatible file upload to Cloudflare R2. Multer middleware for multipart uploads. Image validation (max size, allowed types). Auto-generate unique filenames. Return public URL after upload. Delete file on image removal.",High,Backend Infrastructure,4,backend,Sprint 1
Cron jobs for flash sales and voucher expiry,Story,"Set up node-cron scheduled tasks. Flash sale cron: every minute, activate/deactivate based on timestamps. Voucher cron: every hour, deactivate expired or maxed-out vouchers. Logging for job execution. Error handling with retry.",High,Backend Infrastructure,4,backend,Sprint 4
CI/CD pipeline with GitHub Actions,Story,"Set up automated deployment pipeline. GitHub Actions workflow: lint, test, build on push to main. Auto-deploy frontend to Vercel. Auto-deploy backend to Railway (or Docker build for VPS). Environment variable management.",Medium,Backend Infrastructure,4,devops,Sprint 5
